Store,Dept,Date,Weekly_Sales_Pred
1,2,2012-02-24,45125.727
1,2,2012-02-03,51995.95
1,2,2012-09-03,42563.65
1,2,2012-03-16,42497.445
1,2,2012-03-23,42500.543
1,2,2012-03-30,42543.586
1,2,2012-06-04,43879.12
1,2,2012-04-13,43318.68
1,2,2012-04-20,43316.57
1,2,2012-04-27,43274.906
1,2,2012-04-05,48165.355
1,2,2012-05-18,43525.69
1,2,2012-05-25,43630.22
1,2,2012-01-06,39615.145
1,2,2012-08-06,43350.098
1,2,2012-06-15,43631.656
1,2,2012-06-22,43716.414
1,2,2012-06-29,43631.656
1,2,2012-06-07,44243.523
1,2,2012-07-13,42480.81
1,2,2012-07-20,42396.05
1,2,2012-07-27,44349.895
1,2,2012-03-08,48426.375
1,2,2012-10-08,43847.066
1,2,2012-08-17,42318.918
1,2,2012-08-24,42254.56
1,2,2012-08-31,46685.07
1,2,2012-07-09,42611.11
1,2,2012-09-14,43879.87
1,2,2012-09-21,42229.85
1,2,2012-09-28,42107.215
1,2,2012-05-10,40645.27
1,2,2012-10-19,40598.24
1,2,2012-10-26,40673.6
1,3,2011-11-02,11767.742
1,3,2011-11-03,10603.445
1,3,2011-12-08,14689.137
1,3,2011-11-11,14467.752
1,3,2011-11-18,10323.168
1,3,2011-11-25,19517.828
1,3,2011-12-16,13559.655
1,3,2011-12-23,12505.367
1,3,2011-12-30,19549.729
1,3,2012-06-01,14037.23
1,3,2012-01-13,10496.468
1,3,2012-01-20,10700.322
1,3,2012-01-27,12114.795
1,3,2012-03-02,20164.38
1,3,2012-10-02,13100.32
1,3,2012-02-17,14657.548
1,3,2012-02-24,14585.329
1,3,2012-02-03,18021.412
1,3,2012-09-03,10009.456
1,3,2012-03-16,12431.421
1,3,2012-03-23,16246.575
1,3,2012-03-30,16612.336
1,3,2012-06-04,20973.732
1,3,2012-04-13,20619.822
1,3,2012-04-20,19572.04
1,3,2012-04-27,19530.377
1,3,2012-04-05,19406.797
1,3,2012-05-18,21028.338
1,3,2012-05-25,20953.506
1,3,2012-01-06,11863.786
1,3,2012-08-06,22125.379
1,3,2012-06-15,18943.947
1,3,2012-06-22,19028.705
1,3,2012-06-29,24822.088
1,3,2012-06-07,22091.287
1,3,2012-07-13,15707.503
1,3,2012-07-20,15746.679
1,3,2012-07-27,18201.035
1,3,2012-03-08,27739.553
1,3,2012-10-08,15389.389
1,3,2012-08-17,27918.863
1,3,2012-08-24,22061.809
1,3,2012-08-31,27281.834
1,3,2012-07-09,17724.576
1,3,2012-09-14,11793.854
1,3,2012-09-21,9414.334
1,3,2012-09-28,9330.458
1,3,2012-05-10,19969.473
1,3,2012-10-19,9166.583
1,3,2012-10-26,8873.954
1,4,2011-11-02,32781.477
1,4,2011-11-03,32064.848
1,4,2011-12-08,38290.96
1,4,2011-11-11,39845.332
1,4,2011-11-18,31670.033
1,4,2011-11-25,41782.676
1,4,2011-12-16,34285.113
1,4,2011-12-23,37243.69
1,4,2011-12-30,43613.336
1,4,2012-06-01,34256.66
1,4,2012-01-13,28827.998
1,4,2012-01-20,28613.525
1,4,2012-01-27,30302.188
1,4,2012-03-02,43865.91
1,4,2012-10-02,34039.027
1,4,2012-02-17,34955.754
1,4,2012-02-24,35113.63
1,4,2012-02-03,39550.996
1,4,2012-09-03,31695.848
1,4,2012-03-16,31318.518
1,4,2012-03-23,31321.615
1,4,2012-03-30,31364.66
1,4,2012-06-04,31638.293
1,4,2012-04-13,31621.88
1,4,2012-04-20,31700.072
1,4,2012-04-27,31658.412
1,4,2012-04-05,37029.03
1,4,2012-05-18,31284.861
1,4,2012-05-25,31486.568
1,4,2012-01-06,28113.816
1,4,2012-08-06,31367.33
1,4,2012-06-15,31851.117
1,4,2012-06-22,31935.875
1,4,2012-06-29,31851.117
1,4,2012-06-07,34564.598
1,4,2012-07-13,31754.852
1,4,2012-07-20,31670.094
1,4,2012-07-27,34447.145
1,4,2012-03-08,38333.72
1,4,2012-10-08,33965.91
1,4,2012-08-17,31251.447
1,4,2012-08-24,31303.76
1,4,2012-08-31,36607.234
1,4,2012-07-09,31638.715
1,4,2012-09-14,33665.97
1,4,2012-09-21,30963.754
1,4,2012-09-28,31156.416
1,4,2012-05-10,30644.11
1,4,2012-10-19,30293.404
1,4,2012-10-26,30380.777
1,5,2011-11-02,28979.154
1,5,2011-11-03,24727.084
1,5,2011-12-08,32483.902
1,5,2011-11-11,38341.03
1,5,2011-11-18,23150.605
1,5,2011-11-25,36332.043
1,5,2011-12-16,29850.836
1,5,2011-12-23,37579.19
1,5,2011-12-30,41279.945
1,5,2012-06-01,30227.332
1,5,2012-01-13,25703.762
1,5,2012-01-20,21306.117
1,5,2012-01-27,22958.543
1,5,2012-03-02,38531.727
1,5,2012-10-02,29849.938
1,5,2012-02-17,30549.197
1,5,2012-02-24,27275.223
1,5,2012-02-03,32260.984
1,5,2012-09-03,23866.781
1,5,2012-03-16,22412.861
1,5,2012-03-23,21514.78
1,5,2012-03-30,21557.822
1,5,2012-06-04,21874.61
1,5,2012-04-13,21858.197
1,5,2012-04-20,22248.447
1,5,2012-04-27,22206.785
1,5,2012-04-05,26988.832
1,5,2012-05-18,21521.178
1,5,2012-05-25,21446.346
1,5,2012-01-06,18073.594
1,5,2012-08-06,21327.107
1,5,2012-06-15,21810.895
1,5,2012-06-22,21895.652
1,5,2012-06-29,21227.984
1,5,2012-06-07,23941.484
1,5,2012-07-13,21714.629
1,5,2012-07-20,21046.96
1,5,2012-07-27,23824.031
1,5,2012-03-08,28581.77
1,5,2012-10-08,23342.799
1,5,2012-08-17,20628.314
1,5,2012-08-24,21263.537
1,5,2012-08-31,25984.139
1,5,2012-07-09,21015.582
1,5,2012-09-14,23902.309
1,5,2012-09-21,21200.07
1,5,2012-09-28,21116.193
1,5,2012-05-10,20843.895
1,5,2012-10-19,20841.777
1,5,2012-10-26,20617.094
1,6,2011-11-02,9342.648
1,6,2011-11-03,8201.568
1,6,2011-12-08,7904.8403
1,6,2011-11-11,2608.4106
1,6,2011-11-18,7577.685
1,6,2011-11-25,6655.0596
1,6,2011-12-16,4982.264
1,6,2011-12-23,7859.7876
1,6,2011-12-30,5341.246
1,6,2012-06-01,7278.7
1,6,2012-01-13,4053.9875
1,6,2012-01-20,3982.2341
1,6,2012-01-27,5634.6597
1,6,2012-03-02,6680.249
1,6,2012-10-02,7750.069
1,6,2012-02-17,7629.967
1,6,2012-02-24,5403.8003
1,6,2012-02-03,7735.5635
1,6,2012-09-03,7772.411
1,6,2012-03-16,6893.732
1,6,2012-03-23,6778.418
1,6,2012-03-30,6821.461
1,6,2012-06-04,7524.082
1,6,2012-04-13,7470.423
1,6,2012-04-20,7512.087
1,6,2012-04-27,7470.423
1,6,2012-04-05,7346.2036
1,6,2012-05-18,7170.6494
1,6,2012-05-25,7095.8174
1,6,2012-01-06,3723.0647
1,6,2012-08-06,7649.0522
1,6,2012-06-15,7460.3677
1,6,2012-06-22,7545.125
1,6,2012-06-29,7460.3677
1,6,2012-06-07,5195.179
1,6,2012-07-13,7819.561
1,6,2012-07-20,7734.8027
1,6,2012-07-27,5533.1855
1,6,2012-03-08,6822.4585
1,6,2012-10-08,5268.9634
1,6,2012-08-17,7533.1694
1,6,2012-08-24,7585.482
1,6,2012-08-31,5706.349
1,6,2012-07-09,7703.424
1,6,2012-09-14,5245.562
1,6,2012-09-21,7522.014
1,6,2012-09-28,7438.138
1,6,2012-05-10,6129.7505
1,6,2012-10-19,6516.051
1,6,2012-10-26,6575.42
1,7,2011-11-02,24966.344
1,7,2011-11-03,24354.656
1,7,2011-12-08,22786.906
1,7,2011-11-11,99046.805
1,7,2011-11-18,29779.139
1,7,2011-11-25,70507.01
1,7,2011-12-16,28255.787
1,7,2011-12-23,25161.242
1,7,2011-12-30,51839.117
1,7,2012-06-01,39463.758
1,7,2012-01-13,32070.654
1,7,2012-01-20,31177.268
1,7,2012-01-27,28942.041
1,7,2012-03-02,78502.09
1,7,2012-10-02,38149.785
1,7,2012-02-17,45115.277
1,7,2012-02-24,46042.34
1,7,2012-02-03,63484.305
1,7,2012-09-03,28484.248
1,7,2012-03-16,29232.883
1,7,2012-03-23,29117.57
1,7,2012-03-30,30839.258
1,7,2012-06-04,32597.557
1,7,2012-04-13,31869.707
1,7,2012-04-20,30232.727
1,7,2012-04-27,30191.062
1,7,2012-04-05,47186.695
1,7,2012-05-18,30229.637
1,7,2012-05-25,27860.342
1,7,2012-01-06,25973.418
1,7,2012-08-06,30264.26
1,7,2012-06-15,30176.549
1,7,2012-06-22,32227.729
1,7,2012-06-29,27606.256
1,7,2012-06-07,41702.926
1,7,2012-07-13,29889.37
1,7,2012-07-20,27550.877
1,7,2012-07-27,41978.684
1,7,2012-03-08,60127.1
1,7,2012-10-08,39991.367
1,7,2012-08-17,25928.225
1,7,2012-08-24,30289.527
1,7,2012-08-31,46264.41
1,7,2012-07-09,30212.213
1,7,2012-09-14,40104.87
1,7,2012-09-21,28259.602
1,7,2012-09-28,25922.031
1,7,2012-05-10,28354.076
1,7,2012-10-19,22207.623
1,7,2012-10-26,24653.912
1,8,2011-11-02,32117.633
1,8,2011-11-03,31505.947
1,8,2011-12-08,29897.953
1,8,2011-11-11,50869.363
1,8,2011-11-18,30556.22
1,8,2011-11-25,53683.215
1,8,2011-12-16,37225.918
1,8,2011-12-23,29578.092
1,8,2011-12-30,43362.707
1,8,2012-06-01,33033.758
1,8,2012-01-13,26563.137
1,8,2012-01-20,26165.65
1,8,2012-01-27,29444.826
1,8,2012-03-02,59016.875
1,8,2012-10-02,32222.018
1,8,2012-02-17,33337.668
1,8,2012-02-24,38051.832
1,8,2012-02-03,47600.07
1,8,2012-09-03,30911.104
1,8,2012-03-16,32333.762
1,8,2012-03-23,32218.45
1,8,2012-03-30,33716.31
1,8,2012-06-04,36585.633
1,8,2012-04-13,34746.758
1,8,2012-04-20,33333.6
1,8,2012-04-27,33291.94
1,8,2012-04-05,45460.42
1,8,2012-05-18,31570.127
1,8,2012-05-25,31475.475
1,8,2012-01-06,26562.264
1,8,2012-08-06,30881.797
1,8,2012-06-15,31581.7
1,8,2012-06-22,31823.559
1,8,2012-06-29,32019.459
1,8,2012-06-07,38317.652
1,8,2012-07-13,31294.518
1,8,2012-07-20,31468.084
1,8,2012-07-27,38009.285
1,8,2012-03-08,44005.445
1,8,2012-10-08,37345.742
1,8,2012-08-17,30629.72
1,8,2012-08-24,30907.064
1,8,2012-08-31,40591.17
1,8,2012-07-09,35540.457
1,8,2012-09-14,41916.16
1,8,2012-09-21,34674.203
1,8,2012-09-28,30623.527
1,8,2012-05-10,29878.969
1,8,2012-10-19,29289.062
1,8,2012-10-26,30035.807
1,9,2011-11-02,22418.824
1,9,2011-11-03,23532.047
1,9,2011-12-08,23385.61
1,9,2011-11-11,47018.94
1,9,2011-11-18,23023.666
1,9,2011-11-25,31845.69
1,9,2011-12-16,33837.82
1,9,2011-12-23,20219.602
1,9,2011-12-30,26420.25
1,9,2012-06-01,22967.346
1,9,2012-01-13,18437.633
1,9,2012-01-20,19571.182
1,9,2012-01-27,21223.607
1,9,2012-03-02,36476.28
1,9,2012-10-02,21640.525
1,9,2012-02-17,22599.604
1,9,2012-02-24,25017.637
1,9,2012-02-03,31211.426
1,9,2012-09-03,23036.125
1,9,2012-03-16,23331.56
1,9,2012-03-23,23216.248
1,9,2012-03-30,23259.291
1,9,2012-06-04,25193.467
1,9,2012-04-13,25139.81
1,9,2012-04-20,25028.906
1,9,2012-04-27,24987.244
1,9,2012-04-05,29018.074
1,9,2012-05-18,24840.035
1,9,2012-05-25,24765.203
1,9,2012-01-06,21392.451
1,9,2012-08-06,24239.256
1,9,2012-06-15,25129.752
1,9,2012-06-22,25214.51
1,9,2012-06-29,25129.752
1,9,2012-06-07,26400.154
1,9,2012-07-13,25046.494
1,9,2012-07-20,24961.736
1,9,2012-07-27,26295.709
1,9,2012-03-08,29776.02
1,9,2012-10-08,25394.76
1,9,2012-08-17,24123.373
1,9,2012-08-24,24175.686
1,9,2012-08-31,26543.107
1,9,2012-07-09,24930.357
1,9,2012-09-14,25371.36
1,9,2012-09-21,24112.219
1,9,2012-09-28,24028.342
1,9,2012-05-10,22996.31
1,9,2012-10-19,23138.088
1,9,2012-10-26,23350.023
1,10,2011-11-02,20293.27
1,10,2011-11-03,20840.965
1,10,2011-12-08,20668.0
1,10,2011-11-11,33536.867
1,10,2011-11-18,20786.758
1,10,2011-11-25,26830.695
1,10,2011-12-16,27678.893
1,10,2011-12-23,18574.758
1,10,2011-12-30,23425.898
1,10,2012-06-01,21038.225
1,10,2012-01-13,16792.791
1,10,2012-01-20,17360.795
1,10,2012-01-27,19013.225
1,10,2012-03-02,29848.094
1,10,2012-10-02,19995.684
1,10,2012-02-17,20954.76
1,10,2012-02-24,22702.834
1,10,2012-02-03,26427.842
1,10,2012-09-03,20721.32
1,10,2012-03-16,21094.65
1,10,2012-03-23,20979.338
1,10,2012-03-30,21022.38
1,10,2012-06-04,22297.916
1,10,2012-04-13,22244.26
1,10,2012-04-20,22133.357
1,10,2012-04-27,22091.693
1,10,2012-04-05,26122.525
1,10,2012-05-18,21944.486
1,10,2012-05-25,21869.654
1,10,2012-01-06,18496.9
1,10,2012-08-06,21343.707
1,10,2012-06-15,22234.201
1,10,2012-06-22,22318.959
1,10,2012-06-29,22234.201
1,10,2012-06-07,23504.604
1,10,2012-07-13,22150.943
1,10,2012-07-20,22066.186
1,10,2012-07-27,23400.158
1,10,2012-03-08,26880.47
1,10,2012-10-08,22499.21
1,10,2012-08-17,21227.824
1,10,2012-08-24,21280.137
1,10,2012-08-31,23647.559
1,10,2012-07-09,22034.807
1,10,2012-09-14,22475.809
1,10,2012-09-21,21216.668
1,10,2012-09-28,21132.793
1,10,2012-05-10,19897.861
1,10,2012-10-19,20039.639
1,10,2012-10-26,20251.574
1,11,2011-11-02,18955.52
1,11,2011-11-03,19335.834
1,11,2011-12-08,18829.123
1,11,2011-11-11,38317.22
1,11,2011-11-18,20990.783
1,11,2011-11-25,26836.67
1,11,2011-12-16,24165.967
1,11,2011-12-23,19259.03
1,11,2011-12-30,23912.117
1,11,2012-06-01,22370.365
1,11,2012-01-13,18124.936
1,11,2012-01-20,18380.078
1,11,2012-01-27,20032.504
1,11,2012-03-02,29457.87
1,11,2012-10-02,20679.953
1,11,2012-02-17,22454.283
1,11,2012-02-24,23722.111
1,11,2012-02-03,26535.166
1,11,2012-09-03,20925.348
1,11,2012-03-16,22113.93
1,11,2012-03-23,21998.617
1,11,2012-03-30,22041.66
1,11,2012-06-04,22881.742
1,11,2012-04-13,22828.086
1,11,2012-04-20,22717.182
1,11,2012-04-27,22675.52
1,11,2012-04-05,26706.35
1,11,2012-05-18,22528.31
1,11,2012-05-25,22453.479
1,11,2012-01-06,19080.727
1,11,2012-08-06,20778.533
1,11,2012-06-15,22818.027
1,11,2012-06-22,22902.785
1,11,2012-06-29,22818.027
1,11,2012-06-07,24088.43
1,11,2012-07-13,22734.77
1,11,2012-07-20,22650.012
1,11,2012-07-27,23983.984
1,11,2012-03-08,27464.295
1,11,2012-10-08,21934.037
1,11,2012-08-17,20662.65
1,11,2012-08-24,20714.963
1,11,2012-08-31,23082.385
1,11,2012-07-09,22618.633
1,11,2012-09-14,21910.637
1,11,2012-09-21,20651.496
1,11,2012-09-28,20567.62
1,11,2012-05-10,21002.717
1,11,2012-10-19,19995.496
1,11,2012-10-26,20207.432
1,12,2011-11-02,11136.54
1,12,2011-11-03,12354.27
1,12,2011-12-08,11870.691
1,12,2011-11-11,14465.101
1,12,2011-11-18,11133.185
1,12,2011-11-25,10969.6
1,12,2011-12-16,9466.776
1,12,2011-12-23,9462.366
1,12,2011-12-30,9017.403
1,12,2012-06-01,9520.079
1,12,2012-01-13,6979.6094
1,12,2012-01-20,7547.617
1,12,2012-01-27,9468.773
1,12,2012-03-02,11130.632
1,12,2012-10-02,8909.595
1,12,2012-02-17,9678.894
1,12,2012-02-24,12511.518
1,12,2012-02-03,13056.835
1,12,2012-09-03,11102.3955
1,12,2012-03-16,11123.431
1,12,2012-03-23,11008.116
1,12,2012-03-30,11051.161
1,12,2012-06-04,11687.578
1,12,2012-04-13,11633.919
1,12,2012-04-20,11675.581
1,12,2012-04-27,11633.919
1,12,2012-04-05,12345.074
1,12,2012-05-18,11334.146
1,12,2012-05-25,11259.314
1,12,2012-01-06,7886.557
1,12,2012-08-06,10998.044
1,12,2012-06-15,11623.863
1,12,2012-06-22,11708.621
1,12,2012-06-29,11623.863
1,12,2012-06-07,12389.994
1,12,2012-07-13,11645.051
1,12,2012-07-20,11560.293
1,12,2012-07-27,12389.994
1,12,2012-03-08,14074.264
1,12,2012-10-08,12180.188
1,12,2012-08-17,11413.071
1,12,2012-08-24,11465.384
1,12,2012-08-31,11623.562
1,12,2012-07-09,11528.914
1,12,2012-09-14,12156.787
1,12,2012-09-21,11401.916
1,12,2012-09-28,11318.04
1,12,2012-05-10,10946.614
1,12,2012-10-19,11080.075
1,12,2012-10-26,11139.442
1,13,2011-11-02,34491.145
1,13,2011-11-03,32114.832
1,13,2011-12-08,31155.438
1,13,2011-11-11,42481.145
1,13,2011-11-18,31138.666
1,13,2011-11-25,41056.33
1,13,2011-12-16,37937.59
1,13,2011-12-23,30349.717
1,13,2011-12-30,35876.625
1,13,2012-06-01,33957.723
1,13,2012-01-13,28136.03
1,13,2012-01-20,28238.64
1,13,2012-01-27,30159.793
1,13,2012-03-02,44346.723
1,13,2012-10-02,32929.973
1,13,2012-02-17,34192.004
1,13,2012-02-24,35398.902
1,13,2012-02-03,40247.89
1,13,2012-09-03,30874.162
1,13,2012-03-16,31450.025
1,13,2012-03-23,31334.713
1,13,2012-03-30,31377.756
1,13,2012-06-04,32497.568
1,13,2012-04-13,32443.912
1,13,2012-04-20,32485.574
1,13,2012-04-27,32443.912
1,13,2012-04-05,37784.906
1,13,2012-05-18,32144.137
1,13,2012-05-25,32069.305
1,13,2012-01-06,28279.36
1,13,2012-08-06,30836.016
1,13,2012-06-15,32433.854
1,13,2012-06-22,32518.611
1,13,2012-06-29,32433.854
1,13,2012-06-07,35381.52
1,13,2012-07-13,32455.041
1,13,2012-07-20,32370.283
1,13,2012-07-27,35381.52
1,13,2012-03-08,39691.18
1,13,2012-10-08,33668.78
1,13,2012-08-17,30720.133
1,13,2012-08-24,30772.445
1,13,2012-08-31,35930.727
1,13,2012-07-09,32338.904
1,13,2012-09-14,33645.38
1,13,2012-09-21,30708.979
1,13,2012-09-28,30625.102
1,13,2012-05-10,31174.604
1,13,2012-10-19,30043.11
1,13,2012-10-26,30102.479
1,14,2011-11-02,17482.666
1,14,2011-11-03,17050.799
1,14,2011-12-08,15818.627
1,14,2011-11-11,27906.105
1,14,2011-11-18,16668.639
1,14,2011-11-25,29652.115
1,14,2011-12-16,16976.293
1,14,2011-12-23,15871.335
1,14,2011-12-30,24636.148
1,14,2012-06-01,19237.924
1,14,2012-01-13,13416.239
1,14,2012-01-20,13518.848
1,14,2012-01-27,15171.274
1,14,2012-03-02,32859.633
1,14,2012-10-02,18720.31
1,14,2012-02-17,19589.19
1,14,2012-02-24,20679.105
1,14,2012-02-03,27467.844
1,14,2012-09-03,16637.844
1,14,2012-03-16,16592.178
1,14,2012-03-23,16476.861
1,14,2012-03-30,16519.904
1,14,2012-06-04,17639.72
1,14,2012-04-13,17586.064
1,14,2012-04-20,17627.727
1,14,2012-04-27,17586.064
1,14,2012-04-05,22651.527
1,14,2012-05-18,17286.29
1,14,2012-05-25,17211.457
1,14,2012-01-06,13421.511
1,14,2012-08-06,16599.697
1,14,2012-06-15,17576.006
1,14,2012-06-22,17660.764
1,14,2012-06-29,17576.006
1,14,2012-06-07,20523.666
1,14,2012-07-13,17597.193
1,14,2012-07-20,17512.436
1,14,2012-07-27,20523.666
1,14,2012-03-08,26818.44
1,14,2012-10-08,19432.459
1,14,2012-08-17,16483.814
1,14,2012-08-24,16536.127
1,14,2012-08-31,21694.416
1,14,2012-07-09,17481.057
1,14,2012-09-14,19409.059
1,14,2012-09-21,16472.66
1,14,2012-09-28,16388.783
1,14,2012-05-10,16425.752
1,14,2012-10-19,15647.063
1,14,2012-10-26,15706.433
1,16,2011-11-02,16774.248
1,16,2011-11-03,16027.288
1,16,2011-12-08,16061.948
1,16,2011-11-11,31661.457
1,16,2011-11-18,13798.557
1,16,2011-11-25,5529.758
1,16,2011-12-16,7430.2
1,16,2011-12-23,11365.79
1,16,2011-12-30,3036.159
1,16,2012-06-01,9467.442
1,16,2012-01-13,9138.943
1,16,2012-01-20,9430.238
1,16,2012-01-27,11082.665
1,16,2012-03-02,3288.658
1,16,2012-10-02,10584.704
1,16,2012-02-17,9818.708
1,16,2012-02-24,9883.356
1,16,2012-02-03,12050.433
1,16,2012-09-03,13118.374
1,16,2012-03-16,14068.884
1,16,2012-03-23,13953.569
1,16,2012-03-30,13996.613
1,16,2012-06-04,15116.427
1,16,2012-04-13,15062.77
1,16,2012-04-20,15104.432
1,16,2012-04-27,15062.77
1,16,2012-04-05,19836.125
1,16,2012-05-18,14762.994
1,16,2012-05-25,14688.162
1,16,2012-01-06,10898.215
1,16,2012-08-06,13887.72
1,16,2012-06-15,15052.712
1,16,2012-06-22,15137.47
1,16,2012-06-29,15052.712
1,16,2012-06-07,13256.918
1,16,2012-07-13,15073.897
1,16,2012-07-20,14989.14
1,16,2012-07-27,13256.918
1,16,2012-03-08,9799.313
1,16,2012-10-08,11977.026
1,16,2012-08-17,13771.835
1,16,2012-08-24,13824.147
1,16,2012-08-31,12034.481
1,16,2012-07-09,14957.761
1,16,2012-09-14,11953.625
1,16,2012-09-21,13760.68
1,16,2012-09-28,13676.804
1,16,2012-05-10,13902.453
1,16,2012-10-19,12935.076
1,16,2012-10-26,12994.445
1,17,2011-11-02,11459.12
1,17,2011-11-03,11222.085
1,17,2011-12-08,9644.381
1,17,2011-11-11,17914.56
1,17,2011-11-18,11108.087
1,17,2011-11-25,15308.134
1,17,2011-12-16,9489.385
1,17,2011-12-23,9731.8955
1,17,2011-12-30,11118.0625
1,17,2012-06-01,10759.153
1,17,2012-01-13,8825.11
1,17,2012-01-20,8581.14
1,17,2012-01-27,10198.348
1,17,2012-03-02,18568.666
1,17,2012-10-02,11105.105
1,17,2012-02-17,12481.695
1,17,2012-02-24,14477.769
1,17,2012-02-03,15777.393
1,17,2012-09-03,11454.209
1,17,2012-03-16,11271.472
1,17,2012-03-23,11156.157
1,17,2012-03-30,11199.201
1,17,2012-06-04,11717.804
1,17,2012-04-13,11933.731
1,17,2012-04-20,11975.3955
1,17,2012-04-27,11933.731
1,17,2012-04-05,15041.007
1,17,2012-05-18,11633.959
1,17,2012-05-25,11559.127
1,17,2012-01-06,8100.8
1,17,2012-08-06,11215.271
1,17,2012-06-15,11529.217
1,17,2012-06-22,11613.975
1,17,2012-06-29,11529.217
1,17,2012-06-07,12233.381
1,17,2012-07-13,11550.403
1,17,2012-07-20,11465.6455
1,17,2012-07-27,13199.608
1,17,2012-03-08,15526.169
1,17,2012-10-08,12770.765
1,17,2012-08-17,11099.388
1,17,2012-08-24,11151.7
1,17,2012-08-31,13222.59
1,17,2012-07-09,11559.139
1,17,2012-09-14,12577.31
1,17,2012-09-21,10918.179
1,17,2012-09-28,10834.303
1,17,2012-05-10,10773.42
1,17,2012-10-19,10262.631
1,17,2012-10-26,10322.0
1,18,2011-11-02,8985.513
1,18,2011-11-03,9343.689
1,18,2011-11-11,59761.254
1,18,2011-11-18,9771.716
1,18,2011-11-25,68554.125
1,18,2011-12-16,20254.58
1,18,2011-12-23,9842.848
1,18,2011-12-30,63264.805
1,18,2012-06-01,33853.816
1,18,2012-01-13,14724.313
1,18,2012-01-20,12426.782
1,18,2012-01-27,12751.195
1,18,2012-03-02,85082.62
1,18,2012-10-02,32148.975
1,18,2012-02-17,42787.805
1,18,2012-02-24,36357.043
1,18,2012-02-03,60120.273
1,18,2012-09-03,10090.966
1,18,2012-03-16,14702.187
1,18,2012-03-23,14586.872
1,18,2012-03-30,15400.491
1,18,2012-06-04,11300.704
1,18,2012-04-13,15146.828
1,18,2012-04-20,15188.492
1,18,2012-04-27,15146.828
1,18,2012-04-05,38247.453
1,18,2012-05-25,14772.224
1,18,2012-01-06,11531.52
1,18,2012-08-06,9640.02
1,18,2012-07-20,11173.418
1,18,2012-08-17,9524.136
1,18,2012-08-24,9576.448
1,18,2012-08-31,35085.68
1,18,2012-07-09,11142.039
1,18,2012-09-14,25866.076
1,18,2012-09-21,9512.98
1,18,2012-09-28,9429.1045
1,18,2012-05-10,14872.174
1,18,2012-10-19,8890.983
1,18,2012-10-26,8950.352
1,19,2011-11-02,5512.232
1,19,2011-11-03,5695.4814
1,19,2011-12-08,4745.8555
1,19,2011-11-11,4054.6047
1,19,2011-11-18,4389.151
1,19,2011-11-25,3539.1853
1,19,2011-12-16,1516.1066
1,19,2011-12-23,3652.3987
1,19,2011-12-30,-622.23737
1,19,2012-06-01,3301.4607
1,19,2012-01-13,1380.1215
1,19,2012-01-20,1318.0443
1,19,2012-01-27,2623.9968
1,19,2012-03-02,3223.6626
1,19,2012-10-02,3550.722
1,19,2012-02-17,3784.778
1,19,2012-02-24,5989.8364
1,19,2012-02-03,3035.779
1,19,2012-09-03,4259.391
1,19,2012-03-16,3860.1174
1,19,2012-03-23,3744.8035
1,19,2012-03-30,3729.7717
1,19,2012-06-04,4300.343
1,19,2012-04-13,4304.759
1,19,2012-04-20,4346.422
1,19,2012-04-27,4304.759
1,19,2012-04-05,5233.1304
1,19,2012-05-18,3946.911
1,19,2012-05-25,3930.1545
